ID Consumidor	G�nero	Estado civil	Pets	Bairro
3	F	Casado(a)	1	Itaquera
8	F	Casado(a)	2	Cidade tiradentes
9	F	Casado(a)	5	Cidade tiradentes
20	F	Solteiro(a)	2	Guaianases
24	F	Solteiro(a)	1	Cidade tiradentes
26	F	Solteiro(a)	1	Cidade tiradentes
28	F	Solteiro(a)	1	Itaquera
30	F	Solteiro(a)	4	Guaianases
32	F	Solteiro(a)	2	Cidade tiradentes
36	F	Solteiro(a)	1	Guaianases
39	F	Casado(a)	4	Itaquera
41	F	Solteiro(a)	1	Guaianases
42	F	Casado(a)	3	Cidade tiradentes
43	F	Solteiro(a)	2	Itaquera
44	F	Solteiro(a)	1	Cidade tiradentes
45	F	Solteiro(a)	5	Itaquera
47	F	Casado(a)	1	S�o Miguel Paulista
48	F	Casado(a)	1	S�o Miguel Paulista
49	F	Solteiro(a)	4	Itaquera
52	F	Solteiro(a)	3	Cidade tiradentes
55	F	Casado(a)	3	Guaianases
57	F	Solteiro(a)	3	Cidade tiradentes
59	F	Casado(a)	5	Cidade tiradentes
60	F	Solteiro(a)	3	Cidade tiradentes
62	F	Casado(a)	1	Itaquera
64	F	Solteiro(a)	4	Guaianases
71	F	Solteiro(a)	5	S�o Miguel Paulista
75	F	Solteiro(a)	3	Itaquera
76	F	Solteiro(a)	1	Guaianases
77	F	Solteiro(a)	2	Cidade tiradentes
79	F	Solteiro(a)	2	Itaquera
80	F	Solteiro(a)	1	Guaianases
81	F	Solteiro(a)	2	Guaianases
87	F	Solteiro(a)	4	Cidade tiradentes
91	F	Casado(a)	1	Itaquera
93	F	Casado(a)	5	Itaquera
96	F	Solteiro(a)	1	Guaianases
99	F	Solteiro(a)	3	Guaianases
102	F	Casado(a)	2	S�o Miguel Paulista
104	F	Casado(a)	1	Guaianases
105	F	Casado(a)	3	Guaianases
109	F	Solteiro(a)	2	Cidade tiradentes
110	F	Solteiro(a)	3	Cidade tiradentes
112	F	Casado(a)	4	Cidade tiradentes
114	F	Solteiro(a)	3	S�o Miguel Paulista
115	F	Solteiro(a)	3	Itaquera
117	F	Casado(a)	3	Itaquera
118	F	Solteiro(a)	2	Guaianases
119	F	Solteiro(a)	4	Cidade tiradentes
121	F	Solteiro(a)	5	Cidade tiradentes
125	F	Casado(a)	2	Itaquera
126	F	Solteiro(a)	2	Itaquera
127	F	Solteiro(a)	1	Itaquera
128	F	Solteiro(a)	1	Itaquera
131	F	Solteiro(a)	3	Guaianases
133	F	Casado(a)	1	Cidade tiradentes
135	F	Casado(a)	5	S�o Miguel Paulista
136	F	Casado(a)	3	Itaquera
